supplier_id,material_type,avg_supply,avg_deviation,fulfillment,stability,超额供货率,短缺供货率,eff_supply,unit_price,cost_coeff,selected,supply_amount,capacity_contribution,week
S201,A,2928.178571,0.765611602,0.571428571,0.156572355,0.489795918,0.469387755,2314.736747,1.2,2777.684096,1,2314.736747,3857.894578,1
S140,B,1379.210046,0.373354562,0.995454545,0.287503115,0.827272727,0.113636364,2233.807345,1.1,2457.188079,0,0,0,1
S348,A,476.3969072,0.455140058,0.974874372,0.146388733,0.819095477,0.08040201,796.9341561,1.2,956.3209873,1,796.9341561,1328.223593,1
S151,C,810.4083333,0.277513039,1,0.444098581,0.854166667,0.045833333,1433.761479,1,1433.761479,1,1433.761479,1991.335388,1
S229,A,1478.695833,0.019689623,1,3.156300409,0.8375,0.054166667,2569.927149,1.2,3083.912579,1,2569.927149,4283.211915,1
S361,C,1367,0.021790243,1,3.394019326,0.758333333,0.120833333,2113.201632,1,2113.201632,1,2113.201632,2935.002267,1
S374,C,205.1,0.012609796,1,0.114350566,0.783333333,0.004166667,364.2376597,1,364.2376597,1,364.2376597,505.8856385,1
S108,B,1003.958333,0.119961687,1,0.81928564,0.8625,0.054166667,1768.587641,1.1,1945.446405,0,0,0,1
S139,B,684.0630631,0.153126899,0.991071429,0.29848899,0.901785714,0.03125,1260.286943,1.1,1386.315638,0,0,0,1
S126,C,522.4175824,0.64531126,0.91,0.175231362,0.74,0.16,763.5655385,1,763.5655385,1,763.5655385,1060.507692,1
S330,B,569.3833333,0.221378194,1,0.845089684,0.808333333,0.0875,939.5418108,1.1,1033.495992,0,0,0,1
S395,A,1024.905405,0.286496073,0.880952381,0.320395778,0.761904762,0.130952381,1569.313776,1.2,1883.176531,1,1569.313776,2615.522959,1
S308,B,570.825,0.27536263,1,1.046583425,0.829166667,0.083333333,957.1228906,1.1,1052.83518,0,0,0,1
S340,B,714.275,0.014965116,1,4.47578385,0.833333333,0.058333333,1233.116424,1.1,1356.428066,0,0,0,1
S282,A,705.5833333,0.007399232,1,1.824256608,0.883333333,0.0125,1312.238003,1.2,1574.685604,0,0,0,1
S275,A,660.6375,0.009895669,1,5.719574042,0.8375,0.054166667,1148.16733,1.2,1377.800796,1,1148.16733,1913.612217,1
S329,A,652.1583333,0.01164055,1,5.468090102,0.85,0.058333333,1136.114163,1.2,1363.336996,0,0,0,1
S307,A,457.2865497,0.23895159,0.994186047,0.220374522,0.610465116,0.029069767,715.0357796,1.2,858.0429355,1,715.0357796,1191.726299,1
S268,C,540.775,0.012939631,1,7.62885973,0.866666667,0.0625,946.35625,1,946.35625,1,946.35625,1314.383681,1
S131,B,572.9666667,0.028275016,1,3.927493405,0.820833333,0.091666667,947.6430984,1.1,1042.407408,0,0,0,1
S356,C,542.9458333,0.032387718,1,1.532846072,0.841666667,0.05,949.9289809,1,949.9289809,1,949.9289809,1319.345807,1
S306,C,525.4,0.01363781,1,4.526978751,0.854166667,0.045833333,929.5292882,1,929.5292882,0,0,0,1
S194,C,422.3541667,0.019619254,1,7.241287638,0.85,0.054166667,739.0318012,1,739.0318012,0,0,0,1
S037,C,322.8407643,0.261935369,0.97515528,0.328656318,0.720496894,0.099378882,500.246877,1,500.246877,1,500.246877,694.7873292,1
S352,A,370.9625,0.024983203,1,2.566985406,0.808333333,0.083333333,614.9218663,1.2,737.9062396,1,614.9218663,1024.869777,1
S143,A,344.9458333,0.145743893,1,1.253935441,0.808333333,0.104166667,558.8002727,1.2,670.5603273,1,558.8002727,931.3337879,1
S247,C,236.2416667,0.024535714,1,7.115002247,0.866666667,0.054166667,417.097787,1,417.097787,0,0,0,1
S266,A,27.1625,0.242170819,1,8.259747457,0.820833333,0.129166667,43.07001063,1.2,51.68401276,0,0,0,1
S031,B,171.6958333,0.036124673,1,5.353751758,0.845833333,0.075,293.1527504,1.1,322.4680255,0,0,0,1
S284,C,194.1541667,0.023772383,1,1.201643766,0.908333333,0,370.5108681,1,370.5108681,1,370.5108681,514.5984279,1
S294,C,78.50833333,0.074433657,1,5.900560683,0.8,0.120833333,124.2394375,1,124.2394375,1,124.2394375,172.5547743,1
S346,B,96.83333333,0.135896398,1,5.598436573,0.808333333,0.129166667,152.4889641,1.1,167.7378605,0,0,0,1
S365,C,173.4625,0.032788086,1,2.690261294,0.85,0.05,304.8603438,1,304.8603438,1,304.8603438,423.4171441,1
S338,B,147.5931373,0.222702504,1,0.293621601,0.833333333,0.058823529,254.6705113,1.1,280.1375625,0,0,0,1
