二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),纹饰编码,类型编码,颜色编码,氧化钡(BaO)
59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,1.27,0.0,0.0,0.0,2,1,1,0.0
62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.16,0.0,0.0,0.0,2,1,2,0.0
65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.04,0.0,0.0,2,1,1,0.0
79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,1.36,0.07,2.36,0.0,0,1,3,0.0
37.36,0.0,0.71,0.0,0.0,5.45,1.51,4.78,9.3,5.75,0.0,0.0,0.0,0,0,1,23.55
76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.1,0.0,0.0,0.0,0,1,6,1.97
31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,0.14,0.91,0.0,0.0,2,0,4,26.23
34.34,0.0,1.41,4.49,0.98,4.35,2.12,0.0,39.22,0.0,0.35,0.4,0.0,0,0,3,10.29
36.93,0.0,0.0,4.24,0.51,3.86,2.74,0.0,37.74,1.41,0.48,0.44,0.0,0,0,3,10.35
65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,1.62,0.3,0.0,0.0,2,0,4,3.42
69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,0.17,0.0,0.0,0.0,2,0,0,4.88
75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,0.13,0.0,0.0,0.0,2,0,2,3.55
65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,0.42,0.0,0.0,0.0,2,0,0,5.68
60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,1.46,0.31,0.0,3.66,2,0,2,10.34
61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,0.0,0.23,0.0,0.0,0,0,1,10.96
55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,0.2,0.43,0.0,0.0,0,0,1,10.06
51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,0.1,0.85,0.0,0.0,0,0,1,9.23
49.01,2.71,0.0,1.13,0.0,1.45,0.0,0.86,32.92,0.35,0.0,0.0,0.0,2,0,5,7.95
